ticker,pdf_file,page,stratum,decision_class,subtype,note
ULTA,ULTA-ULTA BEAUTY INC-2022.pdf,24,representative,prose,prose_multicol,"Supplier Diversity 2-col bulleted prose with callout box and photo, no tables"
SONO,SONO-SONOS INC-2024.pdf,23,representative,ambiguous_or_mixed,data_table_ruled,"Large FY24 workforce ethnic diversity ruled table occupies the left half with real row-label/value relationships, while the right half is two-column DEI prose; substantial mixed table+prose page"
WOOF,WOOF-PETCO HEALTH AND WELLNESS CO-2023.pdf,34,representative,prose,prose_multicol,"Veterinary development page with prose column, photo, and self-contained testimonial pull-quote, no table or cross-column row correspondence"
DG,DG-DOLLAR GENERAL CORP-2025.pdf,10,representative,prose,prose_multicol,"Access and Opportunities two-column prose with photo and self-contained jobs callout, no row-structured table"
TGT,TGT-TARGET CORP-2021.pdf,36,representative,prose,prose_multicol,"Inclusive products/marketing two-column prose plus a dashed REACH aims callout, all text reads as independent prose with no label-value detachment risk"
AAPL,AAPL-APPLE INC-2021.pdf,47,representative,prose,prose_multicol,"Developer Academy/Entrepreneur Camp/Affordable Housing multi-column prose with a narrow stack of self-contained stat callouts, no cross-column table relationship"
AZO,AZO-AUTOZONE INC-2026.pdf,20,representative,table_dominant,disclosure_index_table,"SASB Index page dominated by a ruled SASB Code/Accounting Metric/SASB Data table, where column-major reading would detach codes and metrics from responses"
BBWI,BBWI-BATH & BODY WORKS INC-2023.pdf,25,representative,prose,prose_multicol,"Education and development / IRG page of flowing multi-column prose with photo, quote, logo, and DEI highlights callout, no row-level table structure"
WHR,WHR-WHIRLPOOL CORP-2022.pdf,103,representative,table_dominant,data_table_ruled,"Partnerships page is a full-width ruled partner table with ESG pillar group labels spanning many rows, so column-major reading would detach partners from organization descriptions"
FL,FL-FOOT LOCKER INC-2022.pdf,29,representative,prose,other,"Energy conservation page with prose and independent Scope 1/2/3 explanatory boxes, not a row-correspondence table despite the grid-like cards"
VSXY,VSXY-Victorias Secret-2022.pdf,49,representative,prose,prose_multicol,"Store redesign page with two prose columns, a self-contained mannequin recycling callout, and photos; no label-value table structure"
EBAY,EBAY-eBay-2023-Report.pdf,35,representative,prose,prose_multicol,"Supplier conduct, taxation, and government relations page with ordinary two-column prose and bullet list, no row-structured table"
KSS,KSS-KOHL'S-2023.pdf,13,representative,prose,prose_multicol,"DEI introduction plus awards-and-recognition list with logos and self-contained award descriptions, no cross-column row correspondence"
GIII,GII-G-III APPAREL GROUP LTD-2025.pdf,19,representative,prose,prose_multicol,"Environment page with two prose columns and a same-column initiatives list of percentages and descriptions, no table-style detachment across columns"
ULTA,ULTA-ULTA BEAUTY INC-2021.pdf,15,representative,prose,prose_multicol,"DEI page with two prose columns and self-contained stat callouts beside an image, no dominant row-structured table"
MUSA,MUSA-MURPHY USA INC-2024.pdf,28,representative,table_dominant,disclosure_index_table,"SASB waste and storage-tank response page uses left metric labels/codes mapped to right-side narrative and year data, so column-major reading would detach metric labels from responses"
AAPL,AAPL-APPLE INC-2025.pdf,36,representative,prose,prose_multicol,"Environmental initiatives page with photo and two independent prose columns, no tables or label-value grid"
ULTA,ULTA-ULTA BEAUTY INC-2025.pdf,18,representative,prose,prose_multicol,"Sustainable packaging page of flowing prose with self-contained goal and stat callouts, no row-level table structure"
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,76,representative,prose,other,"Brand-specific sustainable collections page is a set of independent product-description blocks with images, not a shared-row table; column-major reading does not detach labels from values"
CVS,CVS-CVS HEALTH CORP-2023.pdf,29,representative,prose,prose_multicol,"Maternal health disparities page with prose and bullet investments plus a self-contained 40K+ banner, no table correspondence"
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf,58,representative,ambiguous_or_mixed,other,"Services page is dominated by five independent icon+heading+paragraph boxes plus prose and photo; no table row relationships, but the box grid has no single canonical linear order"
SONO,SONO-SONOS INC-2024.pdf,24,representative,prose,prose_multicol,"DEI transparency and ERG page with prose columns and a single-column ERG name list, no cross-column label-value table"
DKS,DKS-DICKS SPORTING GOODS INC-2021.pdf,48,representative,prose,other,"Every Tag Matters page has prose plus a sustainable-attributes panel of independent lists and certification logos, not a shared-row table"
BIRD,BIRD-ALLBIRDS INC-2022.pdf,5,representative,prose,prose_multicol,"Flight Status page of ordinary two-column prose under a large heading, no tables or structured label-value grid"
ORLY,ORLY-O'REILLY AUTOMOTIVE INC-2024.pdf,31,representative,prose,prose_multicol,"Community support page with separate prose story blocks and photos, no row correspondence between the columns"
MHK,MHK-MOHAWK INDUSTRIES INC-2023.pdf,63,representative,prose,chart_infographic,"Global impact page mixes prose, a donut chart legend, and self-contained stat callouts; chart labels are contiguous and no table rows dominate"
AZO,AZO-AUTOZONE INC-2022.pdf,28,representative,prose,prose_multicol,"Key Initiatives page with two prose columns and a large vendor callout, no row-structured table"
PTRN,PTRN-Pattern Group-2021.pdf,35,representative,table_dominant,data_table_ruled,"KPI and SDG page is dominated by ruled goal/strategy tables with KPI labels mapped to strategy text, so column-major reading would detach row labels from values"
GES,GES-GUESS-2025.pdf,70,representative,table_dominant,disclosure_index_table,"GRI material topics spread uses Disclosure/Our Response rows across both pages, making row-level GRI labels and response text the dominant structure"
AZO,AZO-AUTOZONE INC-2022.pdf,8,representative,prose,prose_multicol,"Our Culture page with hero photo and two prose columns, no table or grid relationship"
GES,GES-GUESS-2023-2022.pdf,99,representative,table_dominant,disclosure_index_table,"GRI Index continued page is a ruled disclosure table with disclosure numbers, titles, coverage marks, and locations linked by row"
WMT,WMT-WALMART INC-2022.pdf,5,representative,prose,prose_multicol,"Forward-looking statements page with two prose columns and a simple reporting-resources callout, no table structure"
LZB,LZB-LA-Z-BOY INC-2023.pdf,41,representative,prose,prose_multicol,"Employee growth and awards page with flowing prose, a badge, and a self-contained quote/callout, no cross-column table relationship"
BBY,BBY-BEST BUY CO INC-2022.pdf,21,representative,prose,prose_multicol,"Sustainable packaging page with prose sections and a photo, no row-structured table"
AZO,AZO-AUTOZONE INC-2024.pdf,3,representative,prose,prose_multicol,"CEO letter page with portrait and two prose columns, no tables or label-value grid"
SGC,SGC-SUPERIOR GROUP OF COS INC-2022.pdf,20,representative,prose,chart_infographic,"Talent attraction page is mostly prose with two bottom charts, and no dominant table whose row labels would detach from values"
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,61,representative,prose,stat_card_grid,"Volunteerism page with a 2x2 overview stat-card grid plus prose, photos, and story text; each card is self-contained rather than a shared-row table"
WWW,WWW-WOLVERINE WORLD WIDE-2024.pdf,51,representative,prose,prose_multicol,"Cybersecurity and data privacy page with two prose columns beside a photo, no table structure"
WHR,WHR-WHIRLPOOL CORP-2022.pdf,36,representative,prose,prose_multicol,"Water management page with photo, prose, and self-contained goal/recognition callouts, no row-correspondence table"
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022.pdf,17,representative,prose,other,"Community engagement spread has prose, bullets, photos, and four independent Asbury Cares icon boxes; no table-style label-value detachment"
NKE,NKE-NIKE INC -CL B-2023.pdf,162,representative,table_dominant,data_table_ruled,"Data Tables page is dominated by electricity and Scope 2 emissions tables by area and fiscal year, so column-major reading would detach row labels from year values"
KSS,KSS-KOHL'S CORP-2021.pdf,65,representative,prose,prose_multicol,"Conflict minerals and supply-chain policy page with two prose columns, no row-structured table"
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2025.pdf,57,representative,table_dominant,disclosure_index_table,"TCFD Index page is a ruled disclosure table mapping governance/strategy prompts to referenced responses, so column-major order would detach rows"
DECK,DECK-DECKERS OUTDOOR CORP-2023.pdf,173,representative,table_dominant,disclosure_index_table,"GRI Content Index continued page is dominated by disclosure-number/title/notes/location rows, making it a row-linked disclosure table"
LOVE,LOVE-LOVESAC CO (THE)-2021.pdf,14,representative,prose,prose_multicol,"Sustainability narrative page with sidebar callout and navigation, main body prose and image, no table-like row correspondence"
WHR,WHR-WHIRLPOOL CORP-2022.pdf,95,representative,prose,prose_multicol,"Anti-corruption page with two-column prose and a short bullet list, no table structure"
M,M-MACY'S INC-2022.pdf,22,representative,prose,prose_multicol,"Responsible sourcing page with large heading, prose columns, and photo, no row-level table relationship"
VVV,VVV-VALVOLINE INC-2023.pdf,38,representative,table_dominant,disclosure_index_table,"ESG Reporting/GRI Content Index page is a multi-column ruled disclosure table linking topic rows to descriptions and locations"
VZ,VZ-VERIZON COMMUNICATIONS INC-2024.pdf,4,representative,prose,chart_infographic,"Responsible business approach page combines a four-pillar process diagram with prose sections, but has no table row labels tied to values"
OXM,OXM-OXFORD INDUSTRIES INC-2021.pdf,19,representative,prose,prose_multicol,"Human rights page with prose columns and a same-panel conduct bullet list, no cross-column table relationship"
VFC,VFC-VF CORP-2024.pdf,78,representative,prose,prose_multicol,"Safe Harbor Statement page is dense three-column legal prose, no table or label-value grid"
W,W-WAYFAIR INC-2021.pdf,5,representative,prose,chart_infographic,"Corporate responsibility governance page combines prose, an org-chart style governance structure, and a quote, but no table row-value relationships"
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,44,representative,prose,prose_multicol,"Code of Business Conduct and Ethics page with three prose/list columns, no row-structured table"
LAD,LAD-LITHIA MOTORS INC -CL A-2021.pdf,13,representative,prose,other,"Greening Our Communities spread has three independent community story blocks with images plus a large photo, not a shared-row table"
WHR,WHR-WHIRLPOOL CORP-2024.pdf,42,representative,prose,prose_multicol,"Compensation and benefits page with prose, photos, and self-contained callouts, no table structure"
VFC,VFC-VF CORP-2022.pdf,63,representative,prose,prose_multicol,"Materials/sustainable design page with prose, bullet goals, a sidebar story, and images, no row-linked data table"
AMZN,AMZN-Amazon-2021.pdf,71,representative,prose,prose_multicol,"Disaster relief page with prose blocks, photo, quote, and self-contained stat callouts, no table correspondence"
JWN,JWN-NORSTROM-2023.pdf,29,representative,prose,prose_multicol,"Investing in key cities page is three-column prose with quotes and a photo, no row-structured table"
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,21,representative,ambiguous_or_mixed,data_table_ruled,"Global workforce page has substantial employee headcount/gender tables alongside donut charts and prose, making it a mixed table+chart+prose page"
PVH,PVH-PVH CORP-2023.pdf,69,representative,table_dominant,disclosure_index_table,"UN Guiding Principles framework page is dominated by side-by-side disclosure tables mapping principle prompts to PVH responses and links"
LULU,LULU-LULULEMON ATHLETICA INC-2021.pdf,56,representative,prose,prose_multicol,"Packaging and waste page is mostly prose and image with only a small embedded packaging-baseline table, so the table is minor rather than dominant"
WHR,WHR-WHIRLPOOL CORP-2023.pdf,43,representative,prose,prose_multicol,"Water management page with prose columns, photo, and self-contained water-intensity callout, no row-structured table"
DLTR,DLTR-DOLLAR TREE INC-2024.pdf,32,representative,prose,prose_multicol,"Our Planet page with prose, image, bullet list, and a climate-target callout, no table row correspondence"
NKE,NKE-NIKE INC -CL B-2022.pdf,103,representative,prose,prose_multicol,"Polyester page with three prose columns and an image, no table or label-value grid"
SGC,SGC-SUPERIOR GROUP OF COS INC-2024.pdf,19,representative,prose,prose_multicol,"Responsible sourcing page with photo, prose columns, and a cotton supply-chain callout, no table structure"
VZ,VZ-VERIZON COMMUNICATIONS INC-2024.pdf,16,representative,prose,prose_multicol,"Natural resources and waste page is dense multi-column prose, no table or grid of row-linked values"
TGT,TGT-TARGET CORP-2022.pdf,27,representative,ambiguous_or_mixed,data_table_ruled,"Biodiversity page has real prose plus a substantial partner/program table on the right, so the table is meaningful but not the whole page"
CURV,CURV-TORRID HOLDINGS-2022.pdf,32,representative,prose,prose_multicol,"About This Report page with three prose/bullet columns on methodology and boundaries, no row-structured table"
WMT,WMT-WALMART INC-2021.pdf,24,representative,ambiguous_or_mixed,data_table_ruled,"Circular economy page combines prose and photo with a full-width goal/metric/progress table at the bottom, making it a substantial mixed table+prose page"
ACI,ACI-ALBERTSONS COS INC-2025.pdf,17,representative,prose,chart_infographic,"Energy and emissions page has prose, a small carbon-footprint table, chart, and callouts; the table is minor relative to the page"
KSS,KSS-KOHL'S-2023.pdf,59,representative,prose,prose_multicol,"Social Responsibility Committee page with three prose columns and a bottom callout, no row-level table relationship"
WMT,WMT-WALMART INC-2025.pdf,99,representative,prose,chart_infographic,"Public policy page with prose columns, challenges bullets, photo, and a self-contained donation donut chart, no row-structured table"
AAPL,AAPL-APPLE INC-2023.pdf,58,representative,prose,prose_multicol,"Smarter chemistry approach page with multi-column prose and a vertical strategy icon list, no row-label/value table structure"
ACI,ACI-ALBERTSONS COS INC-2024.pdf,18,representative,prose,prose_multicol,"Waste reduction page with prose columns, photo, and an independent product-highlights sidebar, no cross-column table relationship"
KR,KR-KROGER CO-2024.pdf,60,representative,prose,prose_multicol,"Responsible supply chain page with multi-column prose and a policy-link callout box, no row-structured table"
LEVI,LEVI-LEVI STRAUSS & CO-2022.pdf,3,representative,prose,prose_multicol,"CEO letter page with three prose columns, portrait, and signature block, no table or label-value grid"
AMZN,AMZN-Amazon-2024.pdf,44,representative,prose,prose_multicol,"Inclusive experiences/community page with dense prose columns and a vertical stack of self-contained ITT cards, no shared row labels or table correspondence"
TGT,TGT-TARGET CORP-2021.pdf,91,representative,table_dominant,disclosure_index_table,"SASB index page is dominated by a ruled Topic/Metric/Category/Code/Data/Reference table, where column-major reading would detach rows"
KR,KR-KROGER CO-2022.pdf,21,representative,prose,prose_multicol,"Food access page with three prose columns and a large image, no row-structured table"
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2021.pdf,49,representative,table_dominant,disclosure_index_table,"GRI disclosure page is a ruled Section/GRI Disclosure/Location table with row labels and responses linked across columns"
LOVE,LOVE-LOVESAC CO (THE)-2024.pdf,52,representative,prose,prose_multicol,"Scope and forward-looking statements appendix page with prose blocks and a photo, no table or grid relationship"
W,W-WAYFAIR INC-2021.pdf,10,representative,prose,prose_multicol,"DEI and talent development page with prose columns, story card, portrait, and quote, no table row correspondence"
CRI,CRI-CARTER'S INC-2024.pdf,19,representative,prose,prose_multicol,"Sustainable apparel page with photo, prose sections, and same-column bullet lists, no shared-row table relationship"
LZB,LZB-LA-Z-BOY INC-2025.pdf,21,representative,prose,prose_multicol,"TranZform page with prose columns, bullets, quotes, and photo, no row-structured table"
VFC,VFC-VF CORP-2023.pdf,17,representative,prose,prose_multicol,"Talent development page with prose blocks and photos plus a bottom callout, no table or label-value grid"
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2023.pdf,5,representative,prose,prose_multicol,"CEO message page with multi-column letter text, portrait, and signature, no table structure"
BURL,BURL-Burlington Stores-2024.pdf,28,representative,table_dominant,chart_infographic,"CSR oversight page is dominated by a governance flowchart of horizontal role rows, where labels and who/what descriptions are linked across each row"
GO,GO-GROCERY OUTLET HLDNG CORP-2022.pdf,3,representative,prose,prose_multicol,"Stakeholder letter page with multi-column prose, bullets, portrait, quote, and signature, no row-structured table"
TJX,TJX-Tjx Cos Inc-2024.pdf,54,representative,prose,prose_multicol,"Sustainable sourcing page with prose columns, bullets, and a self-contained 100 percent packaging goal callout, no table correspondence"
ORLY,ORLY-O'REILLY AUTOMOTIVE INC-2024.pdf,50,representative,prose,prose_multicol,"Human capital policies appendix page with three prose/excerpt columns under separate headings, no row-level table structure"
VFC,VFC-VF CORP-2024.pdf,23,representative,prose,stat_card_grid,"Human rights page with prose, photo, and a self-contained worker-rights progress stat panel, no shared row-label/value table"
HD,HD-HOME DEPOT INC-2024.pdf,51,representative,prose,prose_multicol,"Sustainable forestry page with multi-column prose, timeline bullets, and country-percentage bullets, no cross-column table relationship"
BURL,BURL-Burlington Stores-2022.pdf,44,representative,prose,prose_multicol,"Ethical conduct continued page with prose columns, a bullet list, and photo, no row-structured table"
T,T-AT&T INC-2021.pdf,3,representative,prose,prose_multicol,"CEO letter/section opener spread with prose columns, image, and a small page-list block, not dominated by table structure"
MELI,MELI-MERCADOLIBRE-2023.pdf,35,representative,prose,chart_infographic,"Flexible work page with prose, circular culture diagram, and grouped principle lists, no table row-label/value detachment"
NKE,NKE-NIKE INC -CL B-2022.pdf,112,representative,prose,prose_multicol,"Manufacturing waste page with prose columns and a large photo, no table or label-value grid"
VSXY,VSXY-Victorias Secret-2022.pdf,35,representative,prose,prose_multicol,"Human rights page with multi-column prose, a policies list box, and guidebook image, no row-structured table"
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2023.pdf,33,representative,table_dominant,disclosure_index_table,"TCFD Index page is dominated by a row-structured disclosure table mapping topics and prompts to report locations"
BBY,BBY-BEST BUY CO INC-2021.pdf,79,representative,prose,prose_short_columns,"Endnotes page with multi-column location lists where each state/address entry is self-contained, no shared row table"
NWL,NWL-NEWELL BRANDS INC-2021.pdf,73,representative,table_dominant,disclosure_index_table,"TCFD Index page is a ruled topic/accounting metric/reference table, so column-major reading would detach prompts from locations"
GAP,GAP-GAP-2025.pdf,26,representative,prose,prose_multicol,"Opportunity gap story page with photo, prose columns, and quote callout, no row-structured table"
ULTA,ULTA-ULTA BEAUTY INC-2025.pdf,21,representative,prose,prose_multicol,"Inclusive growth page with two prose columns and a right mentor/mentee story sidebar, no table row correspondence"
AMZN,AMZN-Amazon-2025.pdf,16,representative,prose,prose_multicol,"Water page with prose columns and self-contained water-efficiency/supply-chain callout boxes, no shared row table"
KMX,KMX-CARMAX INC-2023.pdf,53,representative,table_dominant,data_table_ruled,"UN SDG moderate-impact page is dominated by a three-column grid with shared target/progress row bands across goals, so row context would detach"
DELL,DELL-DELL TECHNOLOGIES INC-2024.pdf,16,representative,prose,chart_infographic,"Climate strategy page with prose, photo, and a self-contained scope-emissions infographic, no dominant row-structured table"
W,W-WAYFAIR INC-2023.pdf,24,representative,prose,prose_multicol,"Sustainable products page with prose blocks, certification logo grid, photo, and callout, no row-level table relationship"
AZO,AZO-AUTOZONE INC-2024.pdf,71,representative,table_dominant,disclosure_index_table,"GRI Index page is dominated by a GRI Standard/Reference and Responses table with row-linked disclosures and responses"
LOVE,LOVE-LOVESAC CO (THE)-2022.pdf,39,representative,prose,prose_multicol,"Governance page with prose columns and a small board-representation stat box, where the embedded table is minor"
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2022.pdf,21,representative,prose,prose_short_columns,"Commitments page with multiple independent thematic prose blocks in columns, no shared-row label/value structure"
JWN,JWN-NORSTROM-2024.pdf,41,representative,table_dominant,disclosure_index_table,"SASB reference page is dominated by a multi-column activity-metric/category/code/response table where column-major reading would detach rows"
WMT,WMT-WALMART INC-2025.pdf,21,representative,prose,prose_multicol,"Career mobility page with prose columns, callout box, challenges bullets, and photo, no row-structured table"
GAP,GAP-GAP-2023.pdf,19,representative,prose,prose_multicol,"Water consumption page with prose columns, photo, and a small water-savings data table, where the embedded table is minor"
PVH,PVH-PVH CORP-2022.pdf,110,representative,table_dominant,disclosure_index_table,"UN SDG Index page is dominated by side-by-side goal/material topic/target/examples tables, linking row labels to disclosures"
SFM,SFM-SPROUTS FARMERS MARKET-2021.pdf,36,representative,prose,prose_multicol,"ESG leadership and oversight page with prose columns, green quote callout, and illustration, no row-structured table"
TGT,TGT-TARGET CORP-2022.pdf,20,representative,ambiguous_or_mixed,data_table_ruled,"Greenhouse gas emissions page has prose plus a substantial Scope/Definition/Impact table, making it a mixed data-table and prose page"
SNBR,SNBR-SLEEP NUMBER CORP-2021.pdf,45,representative,prose,prose_multicol,"Packaging and store environment page with prose columns, bullets, and photo, no table row correspondence"
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2021.pdf,35,representative,prose,prose_short_columns,"Carbon offsets checklist page with independent REC and offsets bullet lists, not a shared-row table"
LOVE,LOVE-LOVESAC CO (THE)-2022.pdf,45,representative,ambiguous_or_mixed,data_table_ruled,"Emissions inventory page has substantial prose plus a large Scope 3 management plan matrix, so the table is meaningful but not the whole page"
CPNG,CPNG-Coupang-2023.pdf,3,representative,prose,prose_multicol,"Letter from management page with prose columns and photo, no table or label-value grid"
DELL,DELL-DELL TECHNOLOGIES INC-2021.pdf,47,representative,prose,chart_infographic,"Sustainability goals page with two prose goal blocks, performance bar charts, and recent-highlights callouts, no row-structured table"
AMZN,AMZN-Amazon-2023.pdf,83,representative,prose,prose_multicol,"Health and safety page with prose columns, bullets, and package-loading photo, no cross-column table relationship"
CRI,CRI-CARTER'S INC-2021.pdf,42,representative,prose,prose_multicol,"Chemicals management page with prose columns, photo, and employee spotlight sidebar, no row-structured table"
WSM,WSM-WILLIAMS-SONOMA INC-2023.pdf,19,representative,prose,chart_infographic,"Ethical production page with prose columns and a circular audit-process diagram, no table row-label/value relationship"
NWL,NWL-NEWELL BRANDS INC-2024.pdf,26,representative,prose,other,"Responsible sourcing page with narrative columns and independent callout boxes, including an inline audit-grade list rather than a shared-row table"
AAPL,AAPL-APPLE INC-2022.pdf,57,representative,prose,prose_multicol,"Customer product safety page with prose columns, a self-service repair callout, and product image, no table structure"
PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2023.pdf,17,representative,prose,prose_multicol,"DEI page with hero photo, prose columns, and self-contained callout/quote boxes, no row-level table correspondence"
BRLT,BRLT-BRILLIANT EARTH GP INC-2023.pdf,25,representative,table_dominant,data_table_ruled,"Sustainability goals page is dominated by a Year/Goal/Ambition/Status/Progress/Ambitions table, where row labels and values are linked"
AMZN,AMZN-Amazon-2025.pdf,30,representative,prose,prose_multicol,"Employee experience page with dense prose columns and a small pay-equity table, where the embedded table is minor"
GAP,GAP-GAP-2021.pdf,35,representative,prose,prose_multicol,"Water stewardship page with multi-column prose, image, and advocacy sidebar, no table or row-linked grid"
LOW,LOW-LOWE'S COS INC-2021.pdf,18,representative,prose,other,"Business resource groups page is a grid of self-contained group cards, not a shared-row table"
KTB,KTB-KONTOOR BRANDS INC-2021.pdf,23,representative,prose,other,"Value chain page uses four independent image-and-prose cards, with no row correspondence between columns"
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2023.pdf,5,representative,prose,other,"Sustainability tenets page with independent text blocks for each tenet, no shared-row table structure"
TGT,TGT-TARGET CORP-2023.pdf,66,representative,prose,prose_multicol,"Animal welfare page with prose columns, a self-contained 100 percent callout, and a small one-row metric table, not table-dominant"
AAPL,AAPL-APPLE INC-2023.pdf,43,representative,prose,prose_multicol,"Product repair and reuse page with four prose columns, no row-structured table"
EYE,EYE-NATIONAL VISION HOLDINGS INC-2022.pdf,45,representative,prose,prose_multicol,"Environmental performance reference page with prose columns and bullet list, no table or label-value grid"
AMZN,AMZN-Amazon-2023.pdf,76,representative,ambiguous_or_mixed,chart_infographic,"Employee benefits approach page is dominated by a large radial benefits infographic with many labeled sectors and no single canonical linear order"
AAPL,AAPL-APPLE INC-2025.pdf,54,representative,prose,prose_multicol,"Water replenishment page with prose columns and a small replenishment-projects table, where the embedded table is minor"
KTB,KTB-KONTOOR BRANDS INC-2021.pdf,36,representative,prose,prose_multicol,"Basic rights page with four prose columns and numbered principles, no row-structured table"
KR,KR-KROGER CO-2022.pdf,24,representative,prose,prose_multicol,"Customer experience page with prose columns, image, and delivery story callout, no table relationship"
NKE,NKE-NIKE INC -CL B-2024.pdf,2,representative,prose,prose_multicol,"Reporting methodology and safe harbor page with dense prose columns, no table or label-value grid"
AMZN,AMZN-Amazon-2023.pdf,77,representative,prose,prose_multicol,"Employee progress page with dense prose columns and bullets, no table structure"
AMZN,AMZN-Amazon-2021.pdf,38,representative,prose,prose_multicol,"Amazon Sustainability Data Initiative page with prose columns, image blocks, and project story text, no row-structured table"
GAP,GAP-GAP-2025.pdf,45,representative,table_dominant,disclosure_index_table,"GRI content index appendix page is dominated by side-by-side disclosure tables mapping standard sections to disclosures and locations"
TPR,TPR-TAPESTRY INC-2024.pdf,38,representative,prose,other,"Kate Spade social impact page uses independent story cards and partner text blocks, with no shared-row table relationship"
KR,KR-KROGER CO-2025.pdf,26,representative,prose,prose_multicol,"Health and nutrition page with multi-column prose and a large photo, no table or label-value grid"
AAPL,AAPL-APPLE INC-2022.pdf,56,representative,prose,prose_multicol,"Product safety and longevity page with prose columns, image, and a self-contained repair callout, no row-structured table"
COLM,COLM-COLUMBIA SPORTSWEAR CO-2022.pdf,40,boundary,prose,prose_multicol,"Supply chain responsibility page with two prose columns, bullet list, photo, and quote callout, no shared row table"
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,31,boundary,table_dominant,data_table_ruled,"People targets progress page is dominated by a multi-year targets/results/status table where column-major reading would detach row context"
ULTA,ULTA-ULTA BEAUTY INC-2025.pdf,38,boundary,prose,other,"Leadership page combines prose with self-contained board photo/name cards and composition stat callouts, no shared-row table structure"
TGT,TGT-TARGET CORP-2021.pdf,66,boundary,ambiguous_or_mixed,data_table_ruled,"Public policy page has prose columns plus a substantial embedded political-contributions organization/amount table, making it mixed"
ROST,ROST-ROSS STORES INC-2021.pdf,14,boundary,prose,stat_card_grid,"Hiring and advancement page with prose columns, photo, and self-contained promotion stat callouts, no row-level table correspondence"
SNBR,SNBR-SLEEP NUMBER CORP-2024.pdf,26,boundary,prose,prose_short_columns,"DEI strategy overview page uses independent topical text blocks with icons, no shared row-label/value structure"
KTB,KTB-KONTOOR BRANDS INC-2021.pdf,38,boundary,prose,prose_multicol,"Basic rights continued page with multi-column prose and a large photo, no table or row-linked grid"
LOW,LOW-LOWE'S COS INC-2024.pdf,32,boundary,prose,prose_multicol,"Product sustainability accomplishments page with prose sections, product images, and a 2025 plans column, no table structure"
CURV,CURV-TORRID HOLDINGS-2023.pdf,9,boundary,ambiguous_or_mixed,data_table_ruled,"Chemical management page combines prose with substantial supplier survey and certification percentage tables, so it is mixed"
PVH,PVH-PVH CORP-2021.pdf,17,boundary,prose,prose_multicol,"Brand highlights page with photo and two columns of bullet/prose content, no shared-row table relationship"
WWW,WWW-WOLVERINE WORLD WIDE-2022.pdf,31,boundary,ambiguous_or_mixed,other,"Packaging and innovative product page is a collage of independent text/image modules with no single canonical linear order"
WWW,WWW-WOLVERINE WORLD WIDE-2024.pdf,16,boundary,prose,prose_multicol,"Benefits and wellness page with prose columns, bullet list, and photos, no row-structured table"
AZO,AZO-AUTOZONE INC-2024.pdf,34,boundary,prose,prose_multicol,"DEI key initiatives page with prose columns, large photo, and section navigation, no table or label-value grid"
NWL,NWL-NEWELL BRANDS INC-2021.pdf,60,boundary,prose,prose_multicol,"Disaster relief page with two prose columns, quote callout, and photo, no row-structured table"
WSM,WSM-WILLIAMS-SONOMA INC-2022.pdf,53,boundary,table_dominant,disclosure_index_table,"TCFD page is dominated by a disclosure matrix linking recommendations/questions to narrative responses across rows"
XOM,XOM-EXXON MOBIL CORP-2026.pdf,74,boundary,prose,prose_multicol,"Supplier sourcing page with a prose case-study panel, photo, and narrative column, no row-structured table"
LOW,LOW-LOWE'S COS INC-2021.pdf,42,boundary,ambiguous_or_mixed,chart_infographic,"Governance page combines substantial prose with a sizeable board risk oversight role diagram, so it is mixed"
ARKO,ARKO-ARKO CORP-2022.pdf,41,boundary,table_dominant,disclosure_index_table,"SASB index page is dominated by a multi-column disclosure table mapping topics, metrics, codes, and responses"
VFC,VFC-VF CORP-2024.pdf,29,boundary,prose,prose_multicol,"Development highlights page uses side-by-side prose pillars and self-contained activity/results lists, no shared-row table relationship"
NKE,NKE-NIKE INC -CL B-2023.pdf,30,boundary,prose,chart_infographic,"Engagement and inclusion page with prose columns and a self-contained favorability bar chart/target graphic, no row table"
BIRD,BIRD-ALLBIRDS INC-2023.pdf,19,boundary,table_dominant,disclosure_index_table,"SASB disclosures page is dominated by a Description/Response/SASB Standard table linking disclosure text to responses and code"
TGT,TGT-TARGET CORP-2022.pdf,66,boundary,prose,prose_multicol,"About this report page with multi-column prose, bullets, and navigation text, no table or label-value grid"
PTRN,PTRN-Pattern Group-2021.pdf,88,boundary,prose,prose_multicol,"Wastewater tools page with two prose columns and small self-contained tool icons, no row-structured table"
